UICCode,stationType,EVACode,code,cdCode,sporen,synoniemen,heeftFaciliteiten,heeftVertrektijden,heeftReisassistentie,land,lat,lng,radius,naderenRadius,ingangsDatum,namen.lang,namen.middel,namen.kort,nearbyMeLocationId.value,nearbyMeLocationId.type
8400336,STOPTREIN_STATION,8400336,HNK,336,"[{'spoorNummer': '1'}, {'spoorNummer': '2'}]",[],True,True,True,NL,52.6536102294922,5.08555555343628,200,1200,2011-05-01,Hoorn Kersenboogerd,Kersenboogerd,Hoorn Kers,HNK,stationV2
8400339,STOPTREIN_STATION,8400339,HRT,339,"[{'spoorNummer': '1'}, {'spoorNummer': '2'}, {'spoorNummer': '3'}]",[],True,True,True,NL,51.4263877868652,6.04222202301025,200,1600,2011-05-01,Horst-Sevenum,Horst-Sevenum,Horst-Sev,HRT,stationV2
8400335,STOPTREIN_STATION,8400010,HTNC,335,"[{'spoorNummer': '1'}, {'spoorNummer': '2'}]",[],True,True,True,NL,52.01701,5.17949,200,1200,2010-12-12,Houten Castellum,Castellum,Castellum,HTNC,stationV2
8400341,STOPTREIN_STATION,8400341,SGL,341,"[{'spoorNummer': '1'}, {'spoorNummer': '2'}]",[],True,True,True,NL,50.8733329772949,5.79722213745117,200,1200,2022-01-01,Houthem-St. Gerlach,Houthem-St Gerl.,Houthem-St,SGL,stationV2
8400292,STOPTREIN_STATION,8400292,HDG,292,"[{'spoorNummer': '1'}, {'spoorNummer': '2'}]",[],True,True,True,NL,53.2187783,5.934543,200,1200,2020-09-01,Hurdegaryp,Hurdegaryp,Hurdegaryp,HDG,stationV2
8400722,STOPTREIN_STATION,8400722,IJT,722,[{'spoorNummer': '1'}],['Drylts'],True,True,True,NL,53.0146614,5.6160801,200,1200,2020-09-01,IJlst,IJlst,IJlst,IJT,stationV2
8400353,STOPTREIN_STATION,8400353,KPN,353,[{'spoorNummer': '1'}],[],True,True,True,NL,52.5597229003906,5.92166662216186,200,1200,2020-05-13,Kampen,Kampen,Kampen,KPN,stationV2
8400360,STOPTREIN_STATION,8400360,KPNZ,360,"[{'spoorNummer': '1'}, {'spoorNummer': '2'}]",[],True,True,True,NL,52.5331,5.91309,200,1200,2012-12-09,Kampen Zuid,Kampen Zuid,Kampen Z,KPNZ,stationV2
8400354,STOPTREIN_STATION,8400354,BZL,354,"[{'spoorNummer': '1'}, {'spoorNummer': '2'}]",[],True,True,True,NL,51.4808349609375,3.95611119270325,200,1200,2011-05-01,Kapelle-Biezelinge,Kapelle-Biezel.,Kapelle-Bi,BZL,stationV2
8400359,STOPTREIN_STATION,8400359,KTR,359,"[{'spoorNummer': '3'}, {'spoorNummer': '4'}]",[],True,True,True,NL,51.9313869,5.5833465,200,1200,2020-05-13,Kesteren,Kesteren,Kesteren,KTR,stationV2
8400361,STOPTREIN_STATION,8400361,KBK,361,"[{'spoorNummer': '1'}, {'spoorNummer': '2'}]",[],True,True,True,NL,52.1780548095703,6.08361101150513,200,1200,2020-05-13,Klarenbeek,Klarenbeek,Klarenbk,KBK,stationV2
8400362,STOPTREIN_STATION,8400362,KMR,362,"[{'spoorNummer': '1'}, {'spoorNummer': '2'}]",[],True,True,True,NL,50.8663902282715,5.8905553817749,200,1200,2022-01-01,Klimmen-Ransdaal,Klimmen-Ransdaal,Klimmen-R,KMR,stationV2
8400363,STOPTREIN_STATION,8400363,KZ,363,"[{'spoorNummer': '1'}, {'spoorNummer': '2'}]",[],True,True,True,NL,52.458610534668,4.80555534362793,200,1200,2016-12-11,Koog aan de Zaan,Koog a.d. Zaan,Koog Zaan,KZ,stationV2
8400366,STOPTREIN_STATION,8400366,KMW,366,[{'spoorNummer': '1'}],['Koudum-Molkwar'],True,True,True,NL,52.9028197,5.4106913,200,1200,2020-09-01,Koudum-Molkwerum,Koudum-Molkwerum,Koudum-M,KMW,stationV2
8400367,STOPTREIN_STATION,8400367,KBD,367,"[{'spoorNummer': '1'}, {'spoorNummer': '2'}]",[],True,True,True,NL,51.4333343505859,4.11694431304932,250,1200,2011-05-01,Krabbendijke,Krabbendijke,Krabbendke,KBD,stationV2
8400368,STOPTREIN_STATION,8400368,KMA,368,"[{'spoorNummer': '1'}, {'spoorNummer': '2'}]",[],True,True,True,NL,52.49511,4.75417,200,1200,1990-01-01,Krommenie-Assendelft,Krommenie-Ass.,Krommenie,KMA,stationV2
8400369,STOPTREIN_STATION,8400369,KW,369,"[{'spoorNummer': '1'}, {'spoorNummer': '2'}]",[],True,True,True,NL,53.1617362,6.7220882,200,1200,2020-09-01,Kropswolde,Kropswolde,Kropswolde,KW,stationV2
8400370,STOPTREIN_STATION,8400370,KRG,370,"[{'spoorNummer': '1'}, {'spoorNummer': '2'}]",[],True,True,True,NL,51.4650001525879,4.03722238540649,200,1200,2011-05-01,Kruiningen-Yerseke,Kruiningen-Y.,Kruiningen,KRG,stationV2
8400135,STOPTREIN_STATION,8400135,LLZM,135,"[{'spoorNummer': '1'}, {'spoorNummer': '2'}]",[],True,True,True,NL,52.042222,4.517222,200,1200,2018-12-09,Lansingerland-Zoetermeer,Lansingerland,Lansingerl,LLZM,stationV2
8400386,STOPTREIN_STATION,8400386,LDM,386,"[{'spoorNummer': '1'}, {'spoorNummer': '2'}]",[],True,True,True,NL,51.8947219848633,5.09138870239258,200,1200,2020-05-13,Leerdam,Leerdam,Leerdam,LDM,stationV2
8400389,STOPTREIN_STATION,8400389,LWC,389,[{'spoorNummer': '1'}],['Ljouwert Camminghaburen'],True,True,True,NL,53.2021808,5.8422968,200,1200,2020-09-01,Leeuwarden Camminghaburen,Camminghaburen,Camminghab,LWC,stationV2
8400384,STOPTREIN_STATION,8400384,LDL,384,[{'spoorNummer': '1'}],[],True,True,True,NL,52.1469459533691,4.49249982833862,200,1200,2011-05-01,Leiden Lammenschans,Lammenschans,Leiden Lam,LDL,stationV2
8400395,STOPTREIN_STATION,8400395,LTV,395,"[{'spoorNummer': '1'}, {'spoorNummer': '2'}]",[],True,True,True,NL,52.01188,6.59641,200,1200,2020-05-13,Lichtenvoorde-Groenlo,Lichtenvoorde-G.,Lichtenv-G,LTV,stationV2
8400399,STOPTREIN_STATION,8400399,LC,399,"[{'spoorNummer': '1'}, {'spoorNummer': '2'}]",[],True,True,True,NL,52.1666679382324,6.42638874053955,200,1200,2020-05-13,Lochem,Lochem,Lochem,LC,stationV2
8400403,STOPTREIN_STATION,8400403,LP,403,"[{'spoorNummer': '1'}, {'spoorNummer': '2'}]",[],True,True,True,NL,53.3347145,6.7472625,200,1200,2020-09-01,Loppersum,Loppersum,Loppersum,LP,stationV2
8400405,STOPTREIN_STATION,8400405,LTN,405,"[{'spoorNummer': '1'}, {'spoorNummer': '2'}]",[],True,True,True,NL,52.085277557373,5.62444448471069,200,1200,2020-05-13,Lunteren,Lunteren,Lunteren,LTN,stationV2
8400432,STOPTREIN_STATION,8400088,MZ,432,"[{'spoorNummer': '1'}, {'spoorNummer': '2'}]",[],True,True,True,NL,51.304986,5.629796,200,1200,2011-05-01,Maarheeze,Maarheeze,Maarheeze,MZ,stationV2
8400419,STOPTREIN_STATION,8400419,MAS,419,"[{'spoorNummer': '2'}, {'spoorNummer': '3'}]",[],True,True,True,NL,52.1352767944336,5.03361129760742,200,1200,1990-01-01,Maarssen,Maarssen,Maarssen,MAS,stationV2
8400449,STOPTREIN_STATION,8400449,MTN,449,"[{'spoorNummer': '1'}, {'spoorNummer': '2'}]",[],True,True,True,NL,50.87087,5.71774,200,1200,2022-01-01,Maastricht Noord,Maastricht Noord,Maastr. N,MTN,stationV2
8400427,STOPTREIN_STATION,8400427,MG,427,"[{'spoorNummer': '1'}, {'spoorNummer': '2'}]",[],True,True,True,NL,53.1296368,5.7131996,200,1200,2020-09-01,Mantgum,Mantgum,Mantgum,MG,stationV2
8400430,STOPTREIN_STATION,8400430,MTH,430,"[{'spoorNummer': '1'}, {'spoorNummer': '2'}]",[],True,True,True,NL,53.1607232,6.7402989,200,1200,2020-09-01,Martenshoek,Martenshoek,Martenshk,MTH,stationV2
8400436,STOPTREIN_STATION,8400436,MDB,436,"[{'spoorNummer': '1'}, {'spoorNummer': '2'}]",[],True,True,True,NL,51.4947204589844,3.61722230911255,200,1200,2015-03-18,Middelburg,Middelburg,Middelburg,MDB,stationV2
8400446,STOPTREIN_STATION,8400077,MMLH,446,"[{'spoorNummer': '1'}, {'spoorNummer': '2'}]",[],True,True,True,NL,51.766262,5.879133,200,1200,2020-05-13,Mook-Molenhoek,Molenhoek,Mook-Molen,MMLH,stationV2
8400460,STOPTREIN_STATION,8400460,NVP,460,"[{'spoorNummer': '1'}, {'spoorNummer': '2'}]",[],True,True,True,NL,52.2588882446289,4.64555549621582,200,1200,2011-05-01,Nieuw Vennep,Nieuw Vennep,Nw Vennep,NVP,stationV2
8400455,STOPTREIN_STATION,8400455,NWK,455,"[{'spoorNummer': '1'}, {'spoorNummer': '2'}]",[],True,True,True,NL,51.9652786254883,4.61694431304932,200,1200,2011-05-01,Nieuwerkerk a/d IJssel,Nieuwerkerk,Nieuwerkrk,NWK,stationV2
8400469,STOPTREIN_STATION,8400469,NKK,469,"[{'spoorNummer': '1'}, {'spoorNummer': '2'}]",[],True,True,True,NL,52.2222213745117,5.49388885498047,200,1600,1990-01-01,Nijkerk,Nijkerk,Nijkerk,NKK,stationV2
8400475,STOPTREIN_STATION,8400475,NMD,475,"[{'spoorNummer': '1'}, {'spoorNummer': '2'}]",[],True,True,True,NL,51.8241653442383,5.79555559158325,200,1200,2011-05-01,Nijmegen Dukenburg,Dukenburg,Dukenburg,NMD,stationV2
8400477,STOPTREIN_STATION,8400109,NMGO,477,"[{'spoorNummer': '1'}, {'spoorNummer': '2'}]",[],True,True,True,NL,51.8273,5.822722,200,1200,2014-12-14,Nijmegen Goffert,Goffert,Goffert,NMGO,stationV2
8400468,STOPTREIN_STATION,8400468,NMH,468,"[{'spoorNummer': '1'}, {'spoorNummer': '2'}]",[],True,True,True,NL,51.8269462585449,5.86749982833862,200,1200,2020-05-13,Nijmegen Heyendaal,Nm Heyendaal,Heyendaal,NMH,stationV2
8400451,STOPTREIN_STATION,8400016,NML,451,"[{'spoorNummer': '1'}, {'spoorNummer': '2'}]",[],True,True,True,NL,51.863154,5.859625,200,500,2011-05-01,Nijmegen Lent,Lent,Lent,NML,stationV2
8400472,STOPTREIN_STATION,8400472,NVD,472,"[{'spoorNummer': '1'}, {'spoorNummer': '2'}]",[],True,True,True,NL,52.366111,6.462,200,1200,2020-05-13,Nijverdal,Nijverdal,Nijverdal,NVD,stationV2
8400466,STOPTREIN_STATION,8400466,NS,466,"[{'spoorNummer': '1'}, {'spoorNummer': '2'}]",[],True,True,True,NL,52.3708343505859,5.78527784347534,200,1200,1990-01-01,Nunspeet,Nunspeet,Nunspeet,NS,stationV2
8400467,STOPTREIN_STATION,8400467,NH,467,"[{'spoorNummer': '1'}, {'spoorNummer': '2'}]",[],True,True,True,NL,50.9194450378418,5.89277791976929,200,1200,2022-01-01,Nuth,Nuth,Nuth,NH,stationV2
