,id,type,registrationTime,releaseTime,local,title,topic,isActive,start,end,phase.id,phase.label,impact.value,period,summaryAdditionalTravelTime.minimumDurationInMinutes,summaryAdditionalTravelTime.maximumDurationInMinutes
49,7004204,b'MAINTENANCE',2023-11-19 13:15:16+00:00,2023-11-19 13:15:16+00:00,False,Alkmaar to Den Helder; Alkmaar to Hoorn.,,False,2023-12-09 01:50:00+01:00,2023-12-18 02:00:00+01:00,,,4,Zaterdag 09-12-2023 01:50 uur t/m maandag 18-12-2023 02:00 uur.,30.0,30.0
50,7004223,b'MAINTENANCE',2023-11-19 12:39:11+00:00,2023-11-19 12:39:11+00:00,False,Gouda to Den Haag.,,False,2023-12-09 04:00:00+01:00,2023-12-10 02:00:00+01:00,,,3,Zaterdag 09-12-2023 04:00 uur t/m zondag 10-12-2023 02:00 uur.,15.0,15.0
51,7004189,b'MAINTENANCE',2023-11-20 19:33:21+00:00,2023-11-20 19:33:21+00:00,False,Amsterdam to Brussel to London (HSL).,,False,2023-12-09 06:00:00+01:00,2023-12-09 19:30:00+01:00,,,2,Zaterdag 09-12-2023 06:00 uur t/m zaterdag 09-12-2023 19:30 uur.,,
52,7004184,b'MAINTENANCE',2023-11-06 13:00:59+00:00,2023-11-06 13:00:59+00:00,False,Amsterdam to Brussel to Paris (HSL).,,False,2023-12-09 06:00:00+01:00,2023-12-10 23:59:00+01:00,,,2,Zaterdag 09-12-2023 06:00 uur t/m zondag 10-12-2023 23:59 uur.,,
53,7004177,b'MAINTENANCE',2023-11-10 09:15:03+00:00,2023-11-10 09:15:03+00:00,False,Nijmegen to Venlo.,,False,2023-12-09 23:00:00+01:00,2023-12-10 02:00:00+01:00,,,3,Zaterdag 09-12-2023 23:00 uur t/m zondag 10-12-2023 02:00 uur.,,30.0
54,7004178,b'MAINTENANCE',2023-11-10 09:15:18+00:00,2023-11-10 09:15:18+00:00,False,Nijmegen to Venlo.,,False,2023-12-10 04:00:00+01:00,2023-12-11 02:00:00+01:00,,,3,Zondag 10-12-2023 04:00 uur t/m maandag 11-12-2023 02:00 uur.,,30.0
55,7004226,b'MAINTENANCE',2023-11-20 10:48:39+00:00,2023-11-20 10:48:39+00:00,False,Amersfoort to Zwolle.,,False,2023-12-11 23:15:00+01:00,2023-12-12 05:30:00+01:00,,,3,Maandag 11-12-2023 23:15 uur t/m dinsdag 12-12-2023 05:30 uur.,45.0,45.0
56,7004209,b'MAINTENANCE',2023-11-14 13:49:32+00:00,2023-11-14 13:49:32+00:00,False,Amsterdam Zuid to Den Haag; Amsterdam to Hoofddorp.,,False,2023-12-13 01:20:00+01:00,2023-12-20 02:00:00+01:00,,,2,Woensdag 13-12-2023 01:20 uur t/m woensdag 20-12-2023 02:00 uur.,,
57,7004224,b'MAINTENANCE',2023-11-19 13:49:53+00:00,2023-11-19 13:49:53+00:00,False,Den Haag to Rotterdam.,,False,2023-12-16 00:20:00+01:00,2023-12-18 05:00:00+01:00,,,4,Zaterdag 16-12-2023 00:20 uur t/m maandag 18-12-2023 05:00 uur.,,60.0
58,7004200,b'MAINTENANCE',2023-11-20 19:31:50+00:00,2023-11-20 19:31:50+00:00,False,Amsterdam to Hannover to Berlin.,,False,2023-12-16 04:00:00+01:00,2023-12-18 02:00:00+01:00,,,2,Zaterdag 16-12-2023 04:00 uur t/m maandag 18-12-2023 02:00 uur.,,
