id;type;registrationTime;releaseTime;local;title;topic;isActive;start;end;phase.id;phase.label;impact.value;expectedDuration.description;expectedDuration.endTime;period;summaryAdditionalTravelTime.label;summaryAdditionalTravelTime.shortLabel;summaryAdditionalTravelTime.minimumDurationInMinutes;summaryAdditionalTravelTime.maximumDurationInMinutes
7004066;MAINTENANCE;2023-11-06T13:45:26+0100;2023-11-06T13:45:26+0100;FALSE;Amsterdam - Brussel - Paris (HSL).;;FALSE;2023-11-25T06:00:00+0100;2023-11-26T23:59:00+0100;;;2;;;Zaterdag 25-11-2023 06:00 uur t/m zondag 26-11-2023 23:59 uur.;U heeft geen langere reistijd.;Geen extra reistijd;;
7004163;MAINTENANCE;2023-10-30T09:26:15+0100;2023-10-30T09:26:15+0100;FALSE;Deventer - Enschede;;;;;;;;;;;;;;
7004155;MAINTENANCE;2023-10-30T09:39:14+0100;2023-10-30T09:39:14+0100;FALSE;Groningen - Eemshaven.;;FALSE;2023-11-26T23:20:00+0100;2023-11-27T05:00:00+0100;;;3;;;Zondag 26-11-2023 23:20 uur t/m maandag 27-11-2023 05:00 uur.;De extra reistijd kan oplopen tot 30 minuten.;extra reistijd tot 30 min.;;30.0
7004169;MAINTENANCE;2023-11-18T15:15:46+0100;2023-11-18T15:15:46+0100;FALSE;Den Haag - Rotterdam;;;;;;;;;;;;;;
7003876;MAINTENANCE;2023-10-31T11:41:56+0100;2023-10-31T11:41:56+0100;FALSE;Amsterdam - Rotterdam - Brussel (HSL).;;FALSE;2023-11-27T04:00:00+0100;2023-12-02T02:00:00+0100;;;2;;;Maandag 27-11-2023 04:00 uur t/m zaterdag 02-12-2023 02:00 uur.;U heeft geen langere reistijd.;Geen extra reistijd;;
7004220;MAINTENANCE;2023-11-18T15:16:46+0100;2023-11-18T15:16:46+0100;FALSE;Amsterdam - Schiphol - Rotterdam (HSL).;;FALSE;2023-11-27T06:00:00+0100;2023-12-01T20:00:00+0100;;;2;;;Maandag 27-11-2023 06:00 uur t/m vrijdag 01-12-2023 20:00 uur.;U heeft geen langere reistijd.;Geen extra reistijd;;
7004166;MAINTENANCE;2023-11-06T09:29:50+0100;2023-11-06T09:29:50+0100;FALSE;Groningen - Delfzijl.;;FALSE;2023-11-27T23:20:00+0100;2023-11-28T05:00:00+0100;;;3;;;Maandag 27-11-2023 23:20 uur t/m dinsdag 28-11-2023 05:00 uur.;De extra reistijd kan oplopen tot 30 minuten.;extra reistijd tot 30 min.;;30.0
7004105;MAINTENANCE;2023-10-31T16:14:33+0100;2023-10-31T16:14:33+0100;FALSE;Rotterdam Centraal.;;FALSE;2023-12-02T00:30:00+0100;2023-12-04T05:00:00+0100;;;5;;;Zaterdag 02-12-2023 00:30 uur t/m maandag 04-12-2023 05:00 uur.;De extra reistijd ligt tussen 30 en 45 minuten.;extra reistijd: 30-45 min.;30.0;45.0
7003877;MAINTENANCE;2023-11-06T14:23:21+0100;2023-11-06T14:23:21+0100;FALSE;Amsterdam - Rotterdam - Brussel (HSL).;;FALSE;2023-12-02T04:00:00+0100;2023-12-03T23:59:00+0100;;;2;;;Zaterdag 02-12-2023 04:00 uur t/m zondag 03-12-2023 23:59 uur.;U heeft geen langere reistijd.;Geen extra reistijd;;
7003875;MAINTENANCE;2023-10-31T11:37:49+0100;2023-10-31T11:37:49+0100;FALSE;Roosendaal - Antwerpen - Puurs.;;FALSE;2023-12-02T04:00:00+0100;2023-12-04T02:00:00+0100;;;2;;;Zaterdag 02-12-2023 04:00 uur t/m maandag 04-12-2023 02:00 uur.;De extra reistijd kan oplopen tot 30 minuten.;extra reistijd tot 30 min.;;30.0
7004084;MAINTENANCE;2023-11-06T14:25:54+0100;2023-11-06T14:25:54+0100;FALSE;Amsterdam - Brussel - London (HSL).;;FALSE;2023-12-02T06:00:00+0100;2023-12-03T23:59:00+0100;;;2;;;Zaterdag 02-12-2023 06:00 uur t/m zondag 03-12-2023 23:59 uur.;U heeft geen langere reistijd.;Geen extra reistijd;;
7004067;MAINTENANCE;2023-11-06T13:47:23+0100;2023-11-06T13:47:23+0100;FALSE;Amsterdam - Brussel - Paris (HSL).;;FALSE;2023-12-02T06:00:00+0100;2023-12-03T23:59:00+0100;;;2;;;Zaterdag 02-12-2023 06:00 uur t/m zondag 03-12-2023 23:59 uur.;U heeft geen langere reistijd.;Geen extra reistijd;;
7004123;MAINTENANCE;2023-11-03T11:52:59+0100;2023-11-03T11:52:59+0100;FALSE;Amsterdam - Lelystad Centrum;;;;;;;;;;;;;;
7004149;MAINTENANCE;2023-10-31T11:37:04+0100;2023-10-31T11:37:04+0100;FALSE;Amsterdam - Haarlem.;;FALSE;2023-12-03T01:15:00+0100;2023-12-03T04:00:00+0100;;;3;;;Zondag 03-12-2023 01:15 uur t/m zondag 03-12-2023 04:00 uur.;De extra reistijd is ongeveer 15 minuten.;extra reistijd 15 min.;15.0;15.0
7004205;MAINTENANCE;2023-11-13T14:02:56+0100;2023-11-13T14:02:56+0100;FALSE;Utrecht - Arnhem;;;;;;;;;;;;;;
