id,type,registrationTime,releaseTime,local,title,topic,isActive,start,end,phase.id,phase.label,impact.value,expectedDuration.description,expectedDuration.endTime,period,summaryAdditionalTravelTime.minimumDurationInMinutes,summaryAdditionalTravelTime.maximumDurationInMinutes,sectionType,section.direction,consequence.section.direction,consequence.description,consequence.level,uicCode,stationCode,name,countryCode,coordinate.lat,coordinate.lng
7003875,MAINTENANCE,2023-10-31T11:37:49+0100,2023-10-31T11:37:49+0100,False,Roosendaal - Antwerpen - Puurs.,,False,2023-12-02T04:00:00+0100,2023-12-04T02:00:00+0100,,,2.0,,,Zaterdag 02-12-2023 04:00 uur t/m maandag 04-12-2023 02:00 uur.,,30.0,NL,BOTH,ONE_WAY,rijden bussen,LESS_TRAINS,8400206,EHV,Eindhoven Centraal,NL,51.4433326721191,5.48138904571533
7004084,MAINTENANCE,2023-11-20T20:39:04+0100,2023-11-20T20:39:04+0100,False,Amsterdam - Brussel - London (HSL).,,False,2023-12-02T06:00:00+0100,2023-12-03T23:59:00+0100,,,2.0,,,Zaterdag 02-12-2023 06:00 uur t/m zondag 03-12-2023 23:59 uur.,,,NL,BOTH,ONE_WAY,dienstregeling aangepast,LESS_TRAINS,8400058,ASD,Amsterdam Centraal,NL,52.3788871765137,4.90027761459351
7004067,MAINTENANCE,2023-11-06T13:47:23+0100,2023-11-06T13:47:23+0100,False,Amsterdam - Brussel - Paris (HSL).,,False,2023-12-02T06:00:00+0100,2023-12-03T23:59:00+0100,,,2.0,,,Zaterdag 02-12-2023 06:00 uur t/m zondag 03-12-2023 23:59 uur.,,,NL,BOTH,ONE_WAY,dienstregeling aangepast,LESS_TRAINS,8400059,ASS,Amsterdam Sloterdijk,NL,52.3888893127441,4.83777761459351
7004123,MAINTENANCE,2023-11-03T11:52:59+0100,2023-11-03T11:52:59+0100,False,Amsterdam - Lelystad Centrum; Schiphol - Lelystad.,,False,2023-12-03T00:45:00+0100,2023-12-04T02:00:00+0100,,,4.0,,,Zondag 03-12-2023 00:45 uur t/m maandag 04-12-2023 02:00 uur.,30.0,30.0,HSL,BOTH,ONE_WAY,geen treinen op de HSL,LESS_TRAINS,8400079,ASDL,Amsterdam Lelylaan,NL,52.3577766418457,4.83388900756836
7004149,MAINTENANCE,2023-10-31T11:37:04+0100,2023-10-31T11:37:04+0100,False,Amsterdam - Haarlem.,,False,2023-12-03T01:15:00+0100,2023-12-03T04:00:00+0100,,,3.0,,,Zondag 03-12-2023 01:15 uur t/m zondag 03-12-2023 04:00 uur.,15.0,15.0,HSL,BOTH,ONE_WAY,dienstregeling aangepast,LESS_TRAINS,8400561,SHL,Schiphol Airport,NL,52.3094444274902,4.76194429397583
7004205,MAINTENANCE,2023-11-13T14:02:56+0100,2023-11-13T14:02:56+0100,False,Utrecht - Arnhem; Utrecht - Rhenen.,,False,2023-12-03T01:15:00+0100,2023-12-04T01:15:00+0100,,,3.0,,,Zondag 03-12-2023 01:15 uur t/m maandag 04-12-2023 01:15 uur.,,30.0,HSL,BOTH,ONE_WAY,extra drukte vanwege een omreisroute,LESS_TRAINS,8400332,HFD,Hoofddorp,NL,52.2933349609375,4.70055532455444
7004182,MAINTENANCE,2023-11-03T11:52:31+0100,2023-11-03T11:52:31+0100,False,Amsterdam - Schiphol - Leiden; Amsterdam Zuid - Den Haag.,,False,2023-12-03T01:25:00+0100,2023-12-03T23:59:00+0100,,,4.0,,,Zondag 03-12-2023 01:25 uur t/m zondag 03-12-2023 23:59 uur.,60.0,60.0,NL,BOTH,ONE_WAY,rijden bussen,LESS_TRAINS,8400460,NVP,Nieuw Vennep,NL,52.2588882446289,4.64555549621582
7004134,MAINTENANCE,2023-11-07T10:18:08+0100,2023-11-07T10:18:08+0100,False,Utrecht - 's-Hertogenbosch; Utrecht - Tiel.,,False,2023-12-03T04:00:00+0100,2023-12-03T09:00:00+0100,,,3.0,,,Zondag 03-12-2023 04:00 uur t/m zondag 03-12-2023 09:00 uur.,,30.0,NL,BOTH,ONE_WAY,dienstregeling aangepast,LESS_TRAINS,8400603,SSH,Sassenheim,NL,52.215278,4.517222
7004127,MAINTENANCE,2023-11-03T11:52:55+0100,2023-11-03T11:52:55+0100,False,Amersfoort - Deventer.,,False,2023-12-03T06:00:00+0100,2023-12-04T02:00:00+0100,,,2.0,,,Zondag 03-12-2023 06:00 uur t/m maandag 04-12-2023 02:00 uur.,15.0,15.0,NL,BOTH,ONE_WAY,dienstregeling aangepast,LESS_TRAINS,8400390,LEDN,Leiden Centraal,NL,52.1661109924316,4.48166656494141
7004225,MAINTENANCE,2023-11-21T15:51:03+0100,2023-11-21T15:51:03+0100,False,Amersfoort - Zwolle.,,False,2023-12-04T23:15:00+0100,2023-12-05T05:30:00+0100,,,3.0,,,Maandag 04-12-2023 23:15 uur t/m dinsdag 05-12-2023 05:30 uur.,45.0,45.0,NL,BOTH,ONE_WAY,dienstregeling aangepast,LESS_TRAINS,8400332,HFD,Hoofddorp,NL,52.2933349609375,4.70055532455444
7004197,MAINTENANCE,2023-11-20T09:28:34+0100,2023-11-20T09:28:34+0100,False,Groningen - Eemshaven.,,False,2023-12-08T23:35:00+0100,2023-12-18T02:00:00+0100,,,4.0,,,Vrijdag 08-12-2023 23:35 uur t/m maandag 18-12-2023 02:00 uur.,,45.0,HSL,BOTH,ONE_WAY,geen treinen op de HSL,LESS_TRAINS,8400561,SHL,Schiphol Airport,NL,52.3094444274902,4.76194429397583
